Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status,Transaction_Status_Raw,Product_Name_Raw,Payment_Method_Raw,Total_Amount,Anomaly,Anomaly_Score
T16667,,,2,-9.0,,0,3,Pending,Laptop,Cash,,-1,-0.5551081917428197
T19079,,C4938,2,9.0,,0,3,Pending,Laptop,Cash,,-1,-0.5523082871981194
T19799,,C4741,2,-7.0,,0,3,Pending,Laptop,Cash,,-1,-0.5539387885672862
T22822,,C4899,2,-6.0,,0,3,Pending,Laptop,Cash,,-1,-0.5528155666765621
T25486,,C465,2,-6.0,,0,3,Pending,Laptop,Cash,,-1,-0.5528155666765621
T25868,,C3522,2,372.0,,0,3,Pending,Laptop,Cash,,-1,-0.5690423869266457
T26362,,C2272,2,10.0,,0,3,Pending,Laptop,Cash,,-1,-0.5523082871981194
T26901,,C2358,2,-5.0,,0,3,Pending,Laptop,Cash,,-1,-0.5528155666765621
T27067,,C3952,2,-6.0,,0,3,Pending,Laptop,Cash,,-1,-0.5528155666765621
T29047,,C2535,2,406.0,,0,3,Pending,Laptop,Cash,,-1,-0.5698129207250743
T30249,,,2,279.0,,0,3,Pending,Laptop,Cash,,-1,-0.5698846074619776
T33271,,C2580,2,-5.0,,0,3,Pending,Laptop,Cash,,-1,-0.5528155666765621
T33827,,C1677,2,913.0,,0,3,Pending,Laptop,Cash,,-1,-0.5833362577396741
T35200,,C1424,2,535.0,,0,3,Pending,Laptop,Cash,,-1,-0.5705941047414623
T35458,,C3541,2,113.0,,0,3,Pending,Laptop,Cash,,-1,-0.569403260815873
T36910,,C779,2,-10.0,,0,3,Pending,Laptop,Cash,,-1,-0.5573885114999884
T42900,,C1440,2,662.0,,0,3,Pending,Laptop,Cash,,-1,-0.5759296231222383
T43551,,C4092,2,-6.0,,0,3,Pending,Laptop,Cash,,-1,-0.5528155666765621
T44133,,C1798,2,921.0,,0,3,Pending,Laptop,Cash,,-1,-0.5837896592323203
T44671,,C2807,2,-10.0,,0,3,Pending,Laptop,Cash,,-1,-0.5573885114999884
T48399,,C4456,2,10.0,,0,3,Pending,Laptop,Cash,,-1,-0.5523082871981194
T48897,,C013,2,10.0,,0,3,Pending,Laptop,Cash,,-1,-0.5523082871981194
T50314,,C4483,2,-10.0,,0,3,Pending,Laptop,Cash,,-1,-0.5573885114999884
T55747,,C4118,2,-8.0,,0,3,Pending,Laptop,Cash,,-1,-0.5539387885672862
T57679,,C117,2,-7.0,,0,3,Pending,Laptop,Cash,,-1,-0.5539387885672862
T58284,,C3502,2,443.0,,0,3,Pending,Laptop,Cash,,-1,-0.5690740525948267
T58800,,C2530,2,180.0,,0,3,Pending,Laptop,Cash,,-1,-0.567568010955256
T59300,,C172,2,762.0,,0,3,Pending,Laptop,Cash,,-1,-0.5803152082975503
T60484,,C2676,2,991.0,,0,3,Pending,Laptop,Cash,,-1,-0.5828332103931706
T61991,,C3223,2,260.0,,0,3,Pending,Laptop,Cash,,-1,-0.5684984834632175
T62176,,C3902,2,-8.0,,0,3,Pending,Laptop,Cash,,-1,-0.5539387885672862
T62595,,C3023,2,904.0,,0,3,Pending,Laptop,Cash,,-1,-0.5829417138971353
T63468,,C3140,2,-8.0,,0,3,Pending,Laptop,Cash,,-1,-0.5539387885672862
T69092,,C3677,2,-5.0,,0,3,Pending,Laptop,Cash,,-1,-0.5528155666765621
T75370,,C4126,2,-8.0,,0,3,Pending,Laptop,Cash,,-1,-0.5539387885672862
T75977,,,2,302.0,,0,3,Pending,Laptop,Cash,,-1,-0.5691111824533565
T78105,,C2560,2,834.0,,0,3,Pending,Laptop,Cash,,-1,-0.5803572048677347
T79599,,C3837,2,627.0,,0,3,Pending,Laptop,Cash,,-1,-0.5763045936457033
T79798,,C680,2,461.0,,0,3,Pending,Laptop,Cash,,-1,-0.5690740525948267
T80258,,C197,2,-7.0,,0,3,Pending,Laptop,Cash,,-1,-0.5539387885672862
T84286,,C098,2,291.0,,0,3,Pending,Laptop,Cash,,-1,-0.5680368961751706
T84737,,C1703,2,-7.0,,0,3,Pending,Laptop,Cash,,-1,-0.5539387885672862
T85265,,C3434,2,326.0,,0,3,Pending,Laptop,Cash,,-1,-0.5683986435210597
T85698,,C4178,2,500.0,,0,3,Pending,Laptop,Cash,,-1,-0.5695391220498375
T91876,,C4675,2,477.0,,0,3,Pending,Laptop,Cash,,-1,-0.5695391220498375
T91880,,C2495,2,-7.0,,0,3,Pending,Laptop,Cash,,-1,-0.5539387885672862
T93640,,C1387,2,943.0,,0,3,Pending,Laptop,Cash,,-1,-0.5837896592323203
T94332,,C2734,2,139.0,,0,3,Pending,Laptop,Cash,,-1,-0.566097769746945
T94938,,C4905,2,-7.0,,0,3,Pending,Laptop,Cash,,-1,-0.5539387885672862
T98376,,C532,2,709.0,,0,3,Pending,Laptop,Cash,,-1,-0.5769007652569729
T98907,,C547,2,-8.0,,0,3,Pending,Laptop,Cash,,-1,-0.5539387885672862
T99537,,C3615,2,919.0,,0,3,Pending,Laptop,Cash,,-1,-0.5837896592323203
T2698,,C1582,2,960.0,,0,2,,Laptop,Cash,,-1,-0.5594764318751313
T17724,,C1164,2,978.0,,0,2,,Laptop,Cash,,-1,-0.5585598164892024
T22057,,C251,2,780.0,,0,2,,Laptop,Cash,,-1,-0.5548267687922739
T26265,,C4883,2,800.0,,0,2,,Laptop,Cash,,-1,-0.5548267687922739
T31913,,C227,2,774.0,,0,2,,Laptop,Cash,,-1,-0.5548267687922739
T32104,,C3731,2,932.0,,0,2,,Laptop,Cash,,-1,-0.5594764318751313
T39524,,C4802,2,791.0,,0,2,,Laptop,Cash,,-1,-0.5548267687922739
T46615,,C4614,2,844.0,,0,2,,Laptop,Cash,,-1,-0.5550432325305341
T54010,,C274,2,760.0,,0,2,,Laptop,Cash,,-1,-0.5546197608767126
T64024,,C992,2,723.0,,0,2,,Laptop,Cash,,-1,-0.5532923852007866
T69976,,C3221,2,933.0,,0,2,,Laptop,Cash,,-1,-0.5594764318751313
T8563,,C439,2,929.0,,2,3,Pending,Laptop,PayPal,,-1,-0.556193120043042
T12667,,C1017,2,951.0,,2,3,Pending,Laptop,PayPal,,-1,-0.556193120043042
T21589,,,2,821.0,,2,3,Pending,Laptop,PayPal,,-1,-0.5531719343719222
T29823,,C3160,2,992.0,,2,3,Pending,Laptop,PayPal,,-1,-0.5553376189520692
T48651,,C4378,2,825.0,,2,3,Pending,Laptop,PayPal,,-1,-0.5531719343719222
T49584,,C2054,2,829.0,,2,3,Pending,Laptop,PayPal,,-1,-0.5531719343719222
T70284,,C068,2,817.0,,2,3,Pending,Laptop,PayPal,,-1,-0.5531719343719222
T74901,,C181,2,887.0,,2,3,Pending,Laptop,PayPal,,-1,-0.5543817507869709
T75135,,C4811,2,914.0,,2,3,Pending,Laptop,PayPal,,-1,-0.5553852582487399
T80589,,C4122,2,960.0,,2,3,Pending,Laptop,PayPal,,-1,-0.556193120043042
T82565,,C2103,2,904.0,,2,3,Pending,Laptop,PayPal,,-1,-0.5553852582487399
T90465,,C4349,2,953.0,,2,3,Pending,Laptop,PayPal,,-1,-0.556193120043042
T4950,,C2354,1,978.0,,1,3,Pending,Headphones,credit card,,-1,-0.5581056089893498
T11230,,C4126,1,898.0,,1,3,Pending,Headphones,credit card,,-1,-0.5575664133654044
T31428,,,1,898.0,,1,3,Pending,Headphones,credit card,,-1,-0.5575664133654044
T53509,,C1559,1,931.0,,1,3,Pending,Headphones,credit card,,-1,-0.5578879509414982
T59912,,C4794,1,816.0,,1,3,Pending,Headphones,credit card,,-1,-0.5538016088839892
T66813,,C1411,1,967.0,,1,3,Pending,Headphones,credit card,,-1,-0.5590214790055431
T73520,,C4034,1,997.0,,1,3,Pending,Headphones,credit card,,-1,-0.5587829201542204
T80502,,C3464,1,898.0,,1,3,Pending,Headphones,credit card,,-1,-0.5575664133654044
T84469,,C932,1,985.0,,1,3,Pending,Headphones,credit card,,-1,-0.5587829201542204
T84809,,C1835,1,897.0,,1,3,Pending,Headphones,credit card,,-1,-0.5579437828175389
T85181,,C2919,1,869.0,,1,3,Pending,Headphones,credit card,,-1,-0.5546827660918281
T5226,,C2563,1,786.0,,2,3,Pending,Headphones,PayPal,,-1,-0.5608578303239002
T11739,,C740,1,810.0,,2,3,Pending,Headphones,PayPal,,-1,-0.5608578303239002
T19263,,C4271,1,828.0,,2,3,Pending,Headphones,PayPal,,-1,-0.5604784899339315
T24036,,C4247,1,824.0,,2,3,Pending,Headphones,PayPal,,-1,-0.5604784899339315
T40816,,C4360,1,690.0,,2,3,Pending,Headphones,PayPal,,-1,-0.552527065638666
T43648,,C1425,1,725.0,,2,3,Pending,Headphones,PayPal,,-1,-0.5542781495610156
T45046,,C4309,1,805.0,,2,3,Pending,Headphones,PayPal,,-1,-0.5608578303239002
T46457,,C4038,1,982.0,,2,3,Pending,Headphones,PayPal,,-1,-0.5617083369516962
T49231,,C3693,1,985.0,,2,3,Pending,Headphones,PayPal,,-1,-0.562390020349767
T53450,,C2186,1,887.0,,2,3,Pending,Headphones,PayPal,,-1,-0.5611210216666372
T59481,,C1921,1,910.0,,2,3,Pending,Headphones,PayPal,,-1,-0.5617565227564989
T61229,,C4331,1,719.0,,2,3,Pending,Headphones,PayPal,,-1,-0.554731127228448
T67526,,C387,1,872.0,,2,3,Pending,Headphones,PayPal,,-1,-0.5603179269530855
T76226,,C3841,1,937.0,,2,3,Pending,Headphones,PayPal,,-1,-0.5625736521737722
T92073,,C4807,1,883.0,,2,3,Pending,Headphones,PayPal,,-1,-0.5611210216666372
T94361,,C2689,1,977.0,,2,3,Pending,Headphones,PayPal,,-1,-0.5617083369516962
T96633,,C3436,1,838.0,,2,3,Pending,Headphones,PayPal,,-1,-0.5604784899339315
T97242,,C2846,1,967.0,,2,3,Pending,Headphones,PayPal,,-1,-0.5626301191652658
T0159,,C2913,1,571.0,,0,3,Pending,Headphones,Cash,,-1,-0.5722656289972914
T1518,,C264,1,-8.0,,0,3,Pending,Headphones,Cash,,-1,-0.5537913752997443
T1625,,C2594,1,407.0,,0,3,Pending,Headphones,Cash,,-1,-0.5687809294551389
T2467,,C092,1,-8.0,,0,3,Pending,Headphones,Cash,,-1,-0.5537913752997443
T4718,,C242,1,519.0,,0,3,Pending,Headphones,Cash,,-1,-0.5692439867762501
T8787,,C1025,1,536.0,,0,3,Pending,Headphones,Cash,,-1,-0.5694145126054039
T10255,,C2082,1,-8.0,,0,3,Pending,Headphones,Cash,,-1,-0.5537913752997443
T17843,,C2036,1,802.0,,0,3,Pending,Headphones,Cash,,-1,-0.5797020662430329
T19135,,C112,1,100.0,,0,3,Pending,Headphones,Cash,,-1,-0.5632986890984497
T22130,,C4860,1,383.0,,0,3,Pending,Headphones,Cash,,-1,-0.5687809294551389
T23747,,C1501,1,251.0,,0,3,Pending,Headphones,Cash,,-1,-0.564914543472433
T25421,,C939,1,853.0,,0,3,Pending,Headphones,Cash,,-1,-0.5792252931982002
T28730,,C1434,1,745.0,,0,3,Pending,Headphones,Cash,,-1,-0.5761962236200063
T32298,,C3876,1,405.0,,0,3,Pending,Headphones,Cash,,-1,-0.5687809294551389
T32942,,C3136,1,380.0,,0,3,Pending,Headphones,Cash,,-1,-0.5676276121497327
T34218,,C4069,1,-9.0,,0,3,Pending,Headphones,Cash,,-1,-0.554960467275653
T35396,,C4862,1,613.0,,0,3,Pending,Headphones,Cash,,-1,-0.5742617642450087
T38683,,C4793,1,-9.0,,0,3,Pending,Headphones,Cash,,-1,-0.554960467275653
T38946,,C1346,1,299.0,,0,3,Pending,Headphones,Cash,,-1,-0.5666814948853989
T41453,,C3014,1,-8.0,,0,3,Pending,Headphones,Cash,,-1,-0.5537913752997443
T42780,,C1846,1,-8.0,,0,3,Pending,Headphones,Cash,,-1,-0.5537913752997443
T45033,,C3163,1,-9.0,,0,3,Pending,Headphones,Cash,,-1,-0.554960467275653
T46343,,C2880,1,-7.0,,0,3,Pending,Headphones,Cash,,-1,-0.5541661897485421
T47180,,C2579,1,443.0,,0,3,Pending,Headphones,Cash,,-1,-0.5676501103064963
T48383,,C164,1,211.0,,0,3,Pending,Headphones,Cash,,-1,-0.5625116700304336
T50087,,C2175,1,967.0,,0,3,Pending,Headphones,Cash,,-1,-0.5847929878795591
T50273,,,1,486.0,,0,3,Pending,Headphones,Cash,,-1,-0.5683617108849395
T51049,,C733,1,582.0,,0,3,Pending,Headphones,Cash,,-1,-0.5722656289972914
T51875,,C2893,1,801.0,,0,3,Pending,Headphones,Cash,,-1,-0.5797020662430329
T60832,,C121,1,-7.0,,0,3,Pending,Headphones,Cash,,-1,-0.5541661897485421
T63882,,C3548,1,426.0,,0,3,Pending,Headphones,Cash,,-1,-0.5684187588390515
T64265,,C1159,1,194.0,,0,3,Pending,Headphones,Cash,,-1,-0.5628628923451447
T65712,,C4013,1,131.0,,0,3,Pending,Headphones,Cash,,-1,-0.5650461211672015
T69028,,C3966,1,567.0,,0,3,Pending,Headphones,Cash,,-1,-0.5722656289972914
T74307,,C1173,1,-7.0,,0,3,Pending,Headphones,Cash,,-1,-0.5541661897485421
T79701,,C834,1,360.0,,0,3,Pending,Headphones,Cash,,-1,-0.566985469243431
T82670,,C968,1,989.0,,0,3,Pending,Headphones,Cash,,-1,-0.5838348952419887
T86357,,C1320,1,520.0,,0,3,Pending,Headphones,Cash,,-1,-0.5692439867762501
T87292,,C4454,1,630.0,,0,3,Pending,Headphones,Cash,,-1,-0.5757268114917101
T89504,,C4518,1,-7.0,,0,3,Pending,Headphones,Cash,,-1,-0.5541661897485421
T91436,,C893,1,-8.0,,0,3,Pending,Headphones,Cash,,-1,-0.5537913752997443
T92829,,C552,1,737.0,,0,3,Pending,Headphones,Cash,,-1,-0.5761962236200063
T94820,,C922,1,424.0,,0,3,Pending,Headphones,Cash,,-1,-0.5684187588390515
T18411,,C3697,1,851.0,,1,3,Pending,Headphones,creditcard,,-1,-0.5543076022527554
T24878,,C715,1,881.0,,1,3,Pending,Headphones,creditcard,,-1,-0.5579437828175389
T28482,,C1972,1,819.0,,1,3,Pending,Headphones,creditcard,,-1,-0.553427041022187
T36149,,C4449,1,897.0,,1,3,Pending,Headphones,creditcard,,-1,-0.5579437828175389
T36975,,C2074,1,958.0,,1,3,Pending,Headphones,creditcard,,-1,-0.5590214790055431
T60491,,C2479,1,986.0,,1,3,Pending,Headphones,creditcard,,-1,-0.5587829201542204
T97186,,C2297,1,998.0,,1,3,Pending,Headphones,creditcard,,-1,-0.5587829201542204
T10335,,C2696,1,975.0,,2,3,Pending,Headphones,pay pal,,-1,-0.5617083369516962
T11497,,,1,815.0,,2,3,Pending,Headphones,pay pal,,-1,-0.5608578303239002
T21063,,,1,712.0,,2,3,Pending,Headphones,pay pal,,-1,-0.5540244199088308
T21251,,C4691,1,841.0,,2,3,Pending,Headphones,pay pal,,-1,-0.5604784899339315
T23625,,C1547,1,829.0,,2,3,Pending,Headphones,pay pal,,-1,-0.5604784899339315
T73725,,C1958,1,990.0,,2,3,Pending,Headphones,pay pal,,-1,-0.562390020349767
T78602,,C4669,1,834.0,,2,3,Pending,Headphones,pay pal,,-1,-0.5604784899339315
T88653,,C4120,1,875.0,,2,3,Pending,Headphones,pay pal,,-1,-0.5603179269530855
T16067,,C3976,1,924.0,,0,2,,Headphones,Cash,,-1,-0.561221686149417
T16370,,C345,1,846.0,,0,2,,Headphones,Cash,,-1,-0.556774657696632
T29170,,C1120,1,999.0,,0,2,,Headphones,Cash,,-1,-0.5622785204238535
T34901,,C354,1,830.0,,0,2,,Headphones,Cash,,-1,-0.5557269252070093
T38389,,C1306,1,789.0,,0,2,,Headphones,Cash,,-1,-0.5557269252070093
T56085,,C507,1,883.0,,0,2,,Headphones,Cash,,-1,-0.5605510340850555
T80562,,,1,764.0,,0,2,,Headphones,Cash,,-1,-0.5539549304935951
T19507,,C2752,1,739.0,,0,1,Failed,Headphones,Cash,,-1,-0.5531306854281761
T30431,,C1826,1,921.0,,0,1,Failed,Headphones,Cash,,-1,-0.5627415385186488
T69086,,C3115,1,709.0,,0,1,Failed,Headphones,Cash,,-1,-0.5524260170133172
T71401,,C264,1,761.0,,0,1,Failed,Headphones,Cash,,-1,-0.5546027766608397
T20320,,C2807,1,878.0,,0,0,complete,Headphones,Cash,,-1,-0.553105997534012
T31857,,C490,1,971.0,,0,0,complete,Headphones,Cash,,-1,-0.5569690773203507
T31948,,C2403,1,999.0,,0,0,complete,Headphones,Cash,,-1,-0.5578002796811848
T56034,,C937,1,895.0,,0,0,complete,Headphones,Cash,,-1,-0.5554226050260394
T17311,,C201,1,966.0,,0,0,completed,Headphones,Cash,,-1,-0.5578830822499702
T47226,,C1458,1,997.0,,0,0,completed,Headphones,Cash,,-1,-0.5569690773203507
T77310,,C2387,1,960.0,,0,0,completed,Headphones,Cash,,-1,-0.5578830822499702
T89775,,C3725,1,986.0,,0,0,completed,Headphones,Cash,,-1,-0.5569690773203507
T90009,,C4491,1,962.0,,0,0,completed,Headphones,Cash,,-1,-0.5578830822499702
T92222,,C572,1,871.0,,0,0,completed,Headphones,Cash,,-1,-0.553105997534012
T0772,,C3176,0,931.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5642885797621526
T2200,,C1061,0,617.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5563433337012634
T3778,,C3202,0,565.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5537702412321088
T4825,,C1902,0,826.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5596831872522525
T9504,,C4329,0,453.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5526789749372207
T15679,,C2168,0,648.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5541861975065147
T16379,,C1620,0,912.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5642885797621526
T16981,,C2287,0,753.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5581211085725083
T17437,,C4883,0,504.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5531306456969363
T18657,,C4249,0,530.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5522279337845161
T21383,,C2007,0,912.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5642885797621526
T28362,,C1145,0,814.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5596831872522525
T39819,,C2120,0,856.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.559304641340914
T40662,,C3570,0,634.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5550970306674421
T41326,,C4908,0,531.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5531391169095466
T41627,,C1748,0,491.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5531306456969363
T43761,,C4992,0,1000.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5659920987116521
T58331,,C797,0,896.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5629579896607528
T66490,,C1698,0,625.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5563433337012634
T72793,,,0,751.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5566396785738328
T74507,,C4181,0,915.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5642885797621526
T75726,,C615,0,973.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5651486893664086
T77428,,C1531,0,658.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5541861975065147
T84790,,C1954,0,641.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5550970306674421
T89257,,C2352,0,776.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5583294233414118
T90875,,C1467,0,860.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.559304641340914
T94833,,C2859,0,806.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5583294233414118
T95002,,C1311,0,749.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5566396785738328
T98193,,C2735,0,959.0,,0,0,completed,Coffee Machine,Cash,,-1,-0.5651486893664086
T11931,,C866,0,493.0,,0,0,complete,Coffee Machine,Cash,,-1,-0.5531306456969363
T14624,,C1919,0,810.0,,0,0,complete,Coffee Machine,Cash,,-1,-0.5579179080278134
T21534,,C4305,0,451.0,,0,0,complete,Coffee Machine,Cash,,-1,-0.5526789749372207
T30332,,C1809,0,880.0,,0,0,complete,Coffee Machine,Cash,,-1,-0.5629579896607528
T31126,,C2658,0,635.0,,0,0,complete,Coffee Machine,Cash,,-1,-0.5550970306674421
T54713,,C1988,0,508.0,,0,0,complete,Coffee Machine,Cash,,-1,-0.5531306456969363
T63023,,C4195,0,755.0,,0,0,complete,Coffee Machine,Cash,,-1,-0.5581211085725083
T79023,,C4312,0,638.0,,0,0,complete,Coffee Machine,Cash,,-1,-0.5550970306674421
T79509,,C4195,0,778.0,,0,0,complete,Coffee Machine,Cash,,-1,-0.5583294233414118
T81319,,C781,0,608.0,,0,0,complete,Coffee Machine,Cash,,-1,-0.5563433337012634
T82968,,,0,887.0,,0,0,complete,Coffee Machine,Cash,,-1,-0.5629579896607528
T85146,,C1671,0,428.0,,0,0,complete,Coffee Machine,Cash,,-1,-0.5526615232422752
T90401,,C4107,0,825.0,,0,0,complete,Coffee Machine,Cash,,-1,-0.5596831872522525
T95237,,C4693,0,705.0,,0,0,complete,Coffee Machine,Cash,,-1,-0.5559305398290811
T97670,,C3408,0,991.0,,0,0,complete,Coffee Machine,Cash,,-1,-0.5651486893664086
T99470,,C083,0,756.0,,0,0,complete,Coffee Machine,Cash,,-1,-0.5581211085725083
T1367,,C2645,0,,,0,3,Pending,Coffee Machine,Cash,,-1,-0.561392682195033
T2733,,C885,0,552.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.5795915113332021
T2841,,C907,0,620.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.5829883588697515
T4706,,C3191,0,479.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.579833940138408
T5715,,C051,0,589.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.5829883588697515
T5861,,C4741,0,753.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.5858271319048394
T7730,,C2807,0,338.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.5798109590896154
T10170,,C1656,0,-9.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.56827905337807
T10576,,C2540,0,,,0,3,Pending,Coffee Machine,Cash,,-1,-0.561392682195033
T11175,,C196,0,9.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.5664556469855904
T12309,,C1312,0,-8.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.5675675562885294
T12350,,C086,0,808.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.5843447520830002
T12734,,C3404,0,2.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.5635101479648056
T13759,,C3290,0,461.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.5802263805922696
T13901,,C4865,0,405.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.5821694960736541
T14050,,C4231,0,-2.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.5616965425829163
T14492,,C1611,0,8.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.5656102817437219
T15305,,C1617,0,-3.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.5625841707129604
T15397,,C771,0,-9.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.56827905337807
T16608,,C056,0,890.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.5877638535409352
T18346,,C3591,0,6.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.5643980539926692
T19667,,C3645,0,-10.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.5678946935883616
T20235,,C4536,0,-6.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.5656507581077783
T22833,,C1081,0,-8.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.5675675562885294
T24149,,C2493,0,-6.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.5656507581077783
T27559,,C3533,0,-3.0,,0,3,Pending,Coffee Machine,Cash,,-1,-0.5625841707129604
